dotnet watch ⌚ Configuring the app to use browser-refresh middleware
2025-03-29 14:58:33.803 [StartupProfiler] Assembly loaded: System.Security.Cryptography | Elapsed: 1560ms | Delta: 264ms
dotnet watch ⌚ launchSettings does not allow launching browsers.
2025-03-29 14:58:33.809 [StartupProfiler] Assembly loaded: Microsoft.Extensions.Hosting | Elapsed: 1566ms | Delta: 6ms
2025-03-29 14:58:33.809 [StartupProfiler] Assembly loaded: Microsoft.Extensions.Hosting.Abstractions | Elapsed: 1566ms | Delta: 0ms
2025-03-29 14:58:33.810 [StartupProfiler] Assembly loaded: Microsoft.Extensions.Configuration.Abstractions | Elapsed: 1567ms | Delta: 1ms
2025-03-29 14:58:33.810 [StartupProfiler] Assembly loaded: Microsoft.Extensions.DependencyInjection.Abstractions | Elapsed: 1567ms | Delta: 0ms
2025-03-29 14:58:33.810 [StartupProfiler] Assembly loaded: Microsoft.AspNetCore.Hosting.Abstractions | Elapsed: 1567ms | Delta: 0ms
2025-03-29 14:58:33.810 [StartupProfiler] Assembly loaded: Microsoft.AspNetCore.Hosting | Elapsed: 1567ms | Delta: 0ms
2025-03-29 14:58:33.833 [StartupProfiler] StartupHook.Initialize | Elapsed: 0ms | Delta: 0ms
2025-03-29 14:58:33.844 [StartupProfiler] Assembly loaded: Microsoft.DotNet.Cli.Utils | Elapsed: 11ms | Delta: 11ms
2025-03-29 14:58:33.844 [StartupProfiler] Assembly loaded: System.Diagnostics.Process | Elapsed: 11ms | Delta: 0ms
2025-03-29 14:58:33.845 [StartupProfiler] Periodic checkpoint | Elapsed: 11ms | Delta: 0ms
2025-03-29 14:58:33.845 [StartupProfiler] Assembly loaded: System.ComponentModel.Primitives | Elapsed: 11ms | Delta: 0ms
2025-03-29 14:58:33.846 [StartupProfiler] Assembly loaded: System.Diagnostics.Tracing | Elapsed: 13ms | Delta: 2ms
2025-03-29 14:58:33.848 [StartupProfiler] Assembly loaded: System.Text.Encoding.CodePages | Elapsed: 15ms | Delta: 2ms
2025-03-29 14:58:33.855 [StartupProfiler] Assembly loaded: System.CommandLine | Elapsed: 22ms | Delta: 7ms
2025-03-29 14:58:33.855 [StartupProfiler] Assembly loaded: Microsoft.DotNet.Configurer | Elapsed: 22ms | Delta: 0ms
2025-03-29 14:58:33.855 [StartupProfiler] Assembly loaded: Microsoft.DotNet.InternalAbstractions | Elapsed: 22ms | Delta: 0ms
2025-03-29 14:58:33.856 [StartupProfiler] Assembly loaded: netstandard | Elapsed: 23ms | Delta: 1ms
2025-03-29 14:58:33.858 [StartupProfiler] Assembly loaded: Microsoft.TemplateEngine.Cli | Elapsed: 25ms | Delta: 2ms
2025-03-29 14:58:33.860 [StartupProfiler] Assembly loaded: Microsoft.TemplateEngine.Edge | Elapsed: 27ms | Delta: 2ms
2025-03-29 14:58:33.860 [StartupProfiler] Assembly loaded: Microsoft.TemplateEngine.Abstractions | Elapsed: 27ms | Delta: 0ms
